"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2018-09-10","Mark Wegner","SF","ATL","1","4","123","6","7.2","117","115.8","1.2","95.1","94.2","1","95.1","0.01","0.61"
"","2018-09-09","Todd Tichenor","TOR","CLE","6","2","151","7","8.5","144","142.5","1.5","95.4","94.3","1","94.7","0.05","0.59"
"","2018-09-09","Lance Barrett","DET","STL","2","5","133","8","9.5","125","123.5","1.5","94","92.8","1.2","92.5","0.11","1.09"
"","2018-09-09","Nic Lentz","TB","BAL","8","3","158","9","9.7","149","148.3","0.7","94.3","93.8","0.5","91.1","-0.59","1.21"
"","2018-09-09","Will Little","NYM","PHI","6","4","154","5","8.9","149","145.1","3.9","96.8","94.2","2.6","94.8","0.09","0.61"
"","2018-09-09","John Libka","MIN","KC","3","1","137","5","8","132","129","3","96.4","94.1","2.2","94.2","0.19","0.63"
"","2018-09-09","Ben May","CWS","LAA","0","1","147","7","10.7","140","136.3","3.7","95.2","92.8","2.5","91.2","-0.5","0.78"
"","2018-09-09","Tom Hallion","MIL","SF","6","3","142","9","11.8","133","130.2","2.8","93.7","91.7","2","91.5","0.34","0.78"
"","2018-09-09","Nick Mahrley","COL","LAD","6","9","187","9","13.9","178","173.1","4.9","95.2","92.5","2.6","93","0.12","1.26"
"","2018-09-09","Ramon De Jesus","OAK","TEX","7","3","156","10","9.2","146","146.8","-0.8","93.6","94.1","-0.5","95.5","-0.08","1.32"
"","2018-09-09","Alfonso Marquez","CIN","SD","6","7","176","15","12.3","161","163.7","-2.7","91.5","93","-1.5","92","0.97","2.29"
"","2018-09-09","Marty Foster","AZ","ATL","5","9","211","13","13.9","198","197.1","0.9","93.8","93.4","0.4","93.8","0.44","1.68"
"","2018-09-09","Jeremie Rehak","SEA","NYY","3","2","144","14","9","130","135","-5","90.3","93.8","-3.5","92.4","-0.31","3.27"
"","2018-09-09","Quinn Wolcott","BOS","HOU","6","5","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"","2018-09-08","Jerry Layne","PIT","MIA","5","1","165","15","13.1","150","151.9","-1.9","90.9","92","-1.1","90.3","-1.03","1.95"
"","2018-09-08","Mike Winters","WSH","CHC","10","3","142","10","9.3","132","132.7","-0.7","93","93.4","-0.5","92.3","0.12","1.92"
"","2018-09-08","Jansen Visconti","WSH","CHC","6","5","172","17","13.1","155","158.9","-3.9","90.1","92.4","-2.3","92.4","-0.53","3.09"
"","2018-09-08","Chris Segal","CIN","SD","7","2","97","2","6.5","95","90.5","4.5","97.9","93.3","4.6","99","-0.16","0.16"
"","2018-09-08","David Rackley","BOS","HOU","3","5","161","9","12.9","152","148.1","3.9","94.4","92","2.4","90.1","0.35","1.05"
"","2018-09-08","Gabe Morales","OAK","TEX","8","6","171","8","11.8","163","159.2","3.8","95.3","93.1","2.2","94.2","-0.05","0.77"
"","2018-09-08","Angel Hernandez","TOR","CLE","8","9","206","9","10.6","197","195.4","1.6","95.6","94.9","0.8","94.2","-0.02","1.52"
"","2018-09-08","Ryan Additon","DET","STL","4","3","145","12","12.7","133","132.3","0.7","91.7","91.2","0.5","93.1","0.81","1.63"
"","2018-09-08","Chris Conroy","TB","BAL","10","5","152*","14*","12.4*","138*","139.6*","-1.6*","90.8*","91.8*","-1.1*","96.1*","-1.39*","1.91*"
"","2018-09-08","Bruce Dreckman","MIN","KC","1","4","156","8","12","148","144","4","94.9","92.3","2.6","93.6","-0.84","1"
"","2018-09-08","Mark Carlson","NYM","PHI","10","5","148","12","9.1","136","138.9","-2.9","91.9","93.8","-1.9","91.2","0.93","1.51"
"","2018-09-08","Chris Guccione","CWS","LAA","3","12","185","9","11.3","176","173.7","2.3","95.1","93.9","1.2","97.8","-0.31","1.49"
"","2018-09-08","Phil Cuzzi","MIL","SF","4","3","148","14","12","134","136","-2","90.5","91.9","-1.4","93.2","0.67","1.43"
"","2018-09-08","Laz Diaz","COL","LAD","4","2","145","11","9.2","134","135.8","-1.8","92.4","93.7","-1.3","94.5","1.01","1.41"
"","2018-09-08","Joe West","AZ","ATL","4","5","187","10","10.7","177","176.3","0.7","94.7","94.3","0.4","92.5","0.57","0.97"
"","2018-09-08","John Tumpane","SEA","NYY","2","4","154","13","11.6","141","142.4","-1.4","91.6","92.4","-0.9","90.9","-0.07","1.45"
